Date,Ocupacion_Caribe,Hab_Disponibles_Caribe,Hab_Ocupadas_Caribe,Ingreso_Real_Var_Caribe
2019-01-01,51.0098455428971,101.11305017,106.35182315,
2019-02-01,45.7265254207171,91.647808982,86.411990331,
2019-03-01,49.4686317335464,100.98054715,103.00334704,
2019-04-01,44.5519784752162,98.113583756,90.132175501,
2019-05-01,41.6513624882973,101.41990957,87.10360922,
2019-06-01,46.8249134939188,99.218713712,95.797526451,
2019-07-01,48.4888516127707,103.02369005,103.00604658,
2019-08-01,51.8262274517453,102.91118999,109.97549264,
2019-09-01,48.199832218136,99.677148498,99.066050973,
2019-10-01,47.334795653177,102.10679311,99.659536338,
2019-11-01,53.1247274997164,99.028031079,108.47722804,
2019-12-01,53.4333586755938,100.75953393,111.01517373,
2020-01-01,55.1385870810098,103.75687004,117.96582646,11.9359718231863
2020-02-01,51.3580848221654,96.542118191,102.23729792,29.2927524206185
2020-03-01,31.2601751911234,83.750580174,53.983737752,-51.419937039057
2020-04-01,9.31290938666284,21.969243057,4.2187538874,-96.455384617482
2020-05-01,9.07726065998148,24.981961136,4.6758982745,-95.622781840732
2020-06-01,10.7862485062502,32.099699815,7.1392914587,-94.038235725064
2020-07-01,14.0141408774358,39.646701361,11.456639767,-92.254628309936
2020-08-01,13.684508933183,40.759348959,11.50112107,-92.765255746723
2020-09-01,19.3521666181598,57.867072136,23.091110686,-80.4866848414
2020-10-01,28.1506044274941,84.829056254,49.239777158,-47.209012116719
2020-11-01,33.2577347459096,90.338165392,61.950904424,-44.17675059232
2020-12-01,37.4390232584813,95.84950975,73.994275999,-33.654236180227
2021-01-01,42.3591872182501,98.232921771,85.800219566,-19.987423002305
2021-02-01,35.7102096767884,88.740191925,65.342610832,-35.634633263652
2021-03-01,38.7994030341854,96.101761328,76.88473296,58.9547673976624
2021-04-01,25.5527576606431,93.966960668,49.510427404,1440.01101747082
2021-05-01,28.2304753937652,97.782935209,56.920011678,1489.13709252943
2021-06-01,43.9344759123546,96.873323263,87.759343954,1519.61189930464
2021-07-01,51.8497548183997,100.29743156,107.23097085,1321.77031746512
2021-08-01,52.6363015289601,100.15662174,108.70480789,1275.27116431218
2021-09-01,52.4139676132318,97.420874958,105.2889467,443.315131742935
2021-10-01,60.7825842666465,100.25071087,125.64648426,170.326385686842
2021-11-01,59.8845681823677,98.28769838,121.36621467,112.638616265045
2021-12-01,61.0908580898078,101.37923766,127.70531298,80.1691489697092
2022-01-01,61.5586282834778,102.48507012,130.08680752,47.4791833041528
2022-02-01,51.8966007970916,93.197442364,99.730185327,51.9825956948012
2022-03-01,55.8842844810114,102.15649257,117.71705474,56.9863395623259
2022-04-01,57.6627116524489,99.035886286,117.75283542,161.560264742171
2022-05-01,49.6167772406062,102.75541787,105.12766082,89.9498910718781
2022-06-01,56.9883696146666,100.29158349,117.85131697,31.0143273063149
2022-07-01,60.5571553365246,104.01095541,129.87581057,27.962263105053
2022-08-01,57.9135364993088,104.32151434,124.5769483,17.8615106449716
2022-09-01,54.4422746995307,100.91063034,113.2809548,10.6793667997473
2022-10-01,56.3684343152206,103.74638275,120.58482426,-8.3176223768543
2022-11-01,59.8896440074783,100.72841418,124.39056704,-1.2140103005961
2022-12-01,59.518923948397,103.705501,127.27426103,-0.0563756847157
2023-01-01,59.6196963962607,104.17412201,128.06584763,-2.4486871673068
2023-02-01,56.922924305768,95.50889394,112.10235547,22.2309599988274
2023-03-01,52.0834495244598,104.6118331,112.3477222,-8.4352977828598
2023-04-01,48.135822371065,101.64656102,100.88922944,-16.692738996687
2023-05-01,45.1040120616201,105.04212691,97.692764815,-8.6257099381668
2023-06-01,51.0237701735641,101.93669732,107.24741266,-13.169643327734
2023-07-01,54.2324207742393,104.46887017,116.82333704,-14.658579665961
2023-08-01,53.6315090158181,104.09772306,115.11845871,-8.8172607142797
2023-09-01,51.5133139548656,101.10396787,107.39187108,-4.7758800930866
2023-10-01,50.1566437433421,103.8088549,107.36100976,-12.109851401908
2023-11-01,57.1766183098073,100.82940513,118.87468794,-2.8922811597785
2023-12-01,54.3638035529458,103.56203172,116.08981411,-12.691163328345
2024-01-01,55.7291730654668,104.70653807,120.32063598,-15.049987744636
2024-02-01,53.1738501826282,98.809006752,108.337388,-8.2454222801647
2024-03-01,51.3813005209051,105.07604297,111.32495323,-1.6803519523558
2024-04-01,46.8667248427824,101.7572136,98.336224628,-13.89494652349
2024-05-01,48.7983956315286,103.94821412,104.59388519,6.72626199526287
2024-06-01,54.4091492549984,101.13366894,113.46225679,3.56787556697367
2024-07-01,54.3518788162651,103.66603794,116.18091189,-8.4216927101937
2024-08-01,54.4764306718619,104.46410778,117.34361496,-3.3595758471837
2024-09-01,54.443867041257,102.24784014,114.78544622,2.30947066870519
2024-10-01,54.3806476545133,108.56199848,121.73232712,3.3784624763632
2024-11-01,55.6140290616043,103.32175911,118.48404446,-7.3688546481768
2024-12-01,52.9005597967512,106.61167201,116.29170598,-3.7808634685327
2025-01-01,56.9814782829688,106.22449973,124.80791434,1.84983618318189
2025-02-01,53.3070008289088,96.70827269,106.29959125,-5.7541482119229
2025-03-01,52.0150763365178,106.10713692,113.80400752,2.34970883729846
2025-04-01,46.6912184099782,102.21021543,98.404108233,0.8424418934516
2025-05-01,46.6482181745194,107.089056,103.00631936,-4.5645992240535
2025-06-01,50.6566505293483,105.47213789,110.16862747,-1.6036615390547
2025-07-01,52.9069502441888,108.68760424,118.57044862,3.3389889531281
2025-08-01,52.4750335117196,108.62181118,117.53128486,-0.3264286235734
2025-09-01,50.8305999592449,104.04917314,109.05550379,-8.4820308929482
2025-10-01,53.4167802746192,106.72946362,117.55625798,-3.0180616771371
2025-11-01,55.6975008269204,103.95776627,119.39231335,3.08956088386692
2025-12-01,52.7009089006605,107.15740816,116.44585265,2.61884548906766
2026-01-01,54.3933225367136,107.83855311,120.94930005,0.46668847276747
2026-02-01,49.4157558474238,97.051269695,98.889546077,-5.9718520502297
